run_name,mode,question_id,question,retriever_model_key,top_k,answer_relevancy,answer_similarity,faithfulness,context_precision,context_recall
no_rag,no_rag,eval_0001,How to prevent Diabetic Kidney Disease ?,,0,0.8710526497361362,0.7795864403115804,,,
no_rag,no_rag,eval_0002,What are the complications of Machado-Joseph Disease ?,,0,0.9813594537338513,0.23976929569021802,,,
no_rag,no_rag,eval_0003,What is (are) Rheumatoid Arthritis ?,,0,0.628937107577828,0.8012318377880063,,,
no_rag,no_rag,eval_0004,Is Familial isolated hyperparathyroidism inherited ?,,0,0.0,0.9321161707713845,,,
no_rag,no_rag,eval_0005,What are the genetic changes related to giant congenital melanocytic nevus ?,,0,0.8331023843538669,0.6999811234728486,,,
no_rag,no_rag,eval_0006,Is diastrophic dysplasia inherited ?,,0,0.8656368089685099,0.6694264607030795,,,
no_rag,no_rag,eval_0007,Is glucose phosphate isomerase deficiency inherited ?,,0,0.0,0.5147077712703017,,,
no_rag,no_rag,eval_0008,What causes Chromosome 4q deletion ?,,0,0.8825777046647878,0.8535619347533873,,,
no_rag,no_rag,eval_0009,What is (are) X-linked lymphoproliferative disease ?,,0,0.745929345575425,0.83785457139235,,,
no_rag,no_rag,eval_0010,How to prevent Lung Cancer ?,,0,0.8360866249682554,0.7465371321370108,,,
no_rag,no_rag,eval_0011,What is (are) Medicare and Continuing Care ?,,0,0.6130782418366278,0.6396770784682106,,,
no_rag,no_rag,eval_0012,What is (are) COG5-congenital disorder of glycosylation ?,,0,0.8547063195771778,0.880458746525466,,,
no_rag,no_rag,eval_0013,What are the symptoms of Congenital myasthenic syndrome with episodic apnea ?,,0,0.0,0.6946521945243032,,,
no_rag,no_rag,eval_0014,What are the treatments for Immunodeficiency with hyper IgM type 1 ?,,0,0.932454470407985,0.7081550754908704,,,
no_rag,no_rag,eval_0015,How many people are affected by mucopolysaccharidosis type VI ?,,0,0.0,0.6675798789667056,,,
no_rag,no_rag,eval_0016,What to do for Perineal Injury in Males ?,,0,0.9368082827337548,0.7239436865942745,,,
no_rag,no_rag,eval_0017,What are the genetic changes related to sialuria ?,,0,0.7261664242881135,0.7315861029693103,,,
no_rag,no_rag,eval_0018,what research (or clinical trials) is being done for Oropharyngeal Cancer ?,,0,0.8706577849455305,0.6640746154659704,,,
no_rag,no_rag,eval_0019,What is (are) Pallister-Killian mosaic syndrome ?,,0,0.9103780599642826,0.9028076567241385,,,
no_rag,no_rag,eval_0020,What are the treatments for Mucopolysaccharidosis type I ?,,0,0.960922307970962,0.8244029120017549,,,
no_rag,no_rag,eval_0021,what research (or clinical trials) is being done for Prostate Cancer ?,,0,0.8719939140698293,0.7511013632986066,,,
no_rag,no_rag,eval_0022,What are the symptoms of Heart Palpitations ?,,0,0.9256647981704086,0.8001746030430382,,,
no_rag,no_rag,eval_0023,What are the treatments for Aicardi syndrome ?,,0,0.8644405389250495,0.7633993714023755,,,
no_rag,no_rag,eval_0024,Do you have information about Fires,,0,0.2711153446412841,0.5474491470189282,,,
